episode,tick,action_id,action_name,virality_at_action,reward_at_action
0,3,1,warning,0.52,0.3763
0,5,0,go,0.69,0.0
0,7,0,go,0.91,0.0
0,9,0,go,0.94,0.0
0,11,0,go,0.97,0.0
0,13,0,go,0.98,1.0
0,15,0,go,1.0,1.0
0,17,0,go,1.0,1.0
0,19,0,go,1.0,1.0
0,21,0,go,1.0,1.0
0,23,0,go,1.0,1.0
0,25,0,go,1.0,1.0
0,27,0,go,1.0,1.0
0,29,0,go,1.0,1.0
0,31,0,go,1.0,1.0
0,33,0,go,1.0,1.0
0,35,0,go,1.0,1.0
0,37,0,go,1.0,1.0
0,39,0,go,1.0,1.0
0,41,0,go,1.0,1.0
0,43,0,go,1.0,1.0
0,45,0,go,1.0,1.0
0,47,0,go,1.0,1.0
0,49,0,go,1.0,1.0
0,51,0,go,1.0,1.0
0,53,0,go,1.0,1.0
0,55,0,go,1.0,1.0
0,57,0,go,1.0,1.0
0,59,0,go,1.0,1.0
0,61,0,go,1.0,1.0
0,63,0,go,1.0,1.0
0,65,0,go,1.0,1.0
0,67,0,go,1.0,1.0
0,69,0,go,1.0,1.0
0,71,0,go,1.0,1.0
0,73,0,go,1.0,1.0
0,75,0,go,1.0,1.0
0,77,0,go,1.0,1.0
0,79,0,go,1.0,1.0
0,81,0,go,1.0,1.0
0,83,0,go,1.0,1.0
0,85,0,go,1.0,1.0
0,87,0,go,1.0,1.0
0,89,0,go,1.0,1.0
0,91,0,go,1.0,1.0
0,93,0,go,1.0,1.0
0,95,0,go,1.0,1.0
0,97,0,go,1.0,1.0
0,99,0,go,1.0,1.0
1,3,1,warning,0.46,0.3724
1,5,0,go,0.62,0.0
1,7,0,go,0.84,0.0
1,9,0,go,0.92,0.0
1,11,0,go,0.95,0.0
1,13,0,go,0.98,0.0
1,15,0,go,1.0,0.0
1,17,0,go,1.0,1.0
1,19,0,go,1.0,1.0
1,21,0,go,1.0,1.0
1,23,0,go,1.0,1.0
1,25,0,go,1.0,1.0
1,27,0,go,1.0,1.0
1,29,0,go,1.0,1.0
1,31,0,go,1.0,1.0
1,33,0,go,1.0,1.0
1,35,0,go,1.0,1.0
1,37,0,go,1.0,1.0
1,39,0,go,1.0,1.0
1,41,0,go,1.0,1.0
1,43,0,go,1.0,1.0
1,45,0,go,1.0,1.0
1,47,0,go,1.0,1.0
1,49,0,go,1.0,1.0
1,51,0,go,1.0,1.0
1,53,0,go,1.0,1.0
1,55,0,go,1.0,1.0
1,57,0,go,1.0,1.0
1,59,0,go,1.0,1.0
1,61,0,go,1.0,1.0
1,63,0,go,1.0,1.0
1,65,0,go,1.0,1.0
1,67,0,go,1.0,1.0
1,69,0,go,1.0,1.0
1,71,0,go,1.0,1.0
1,73,0,go,1.0,1.0
1,75,0,go,1.0,1.0
1,77,0,go,1.0,1.0
1,79,0,go,1.0,1.0
1,81,0,go,1.0,1.0
1,83,0,go,1.0,1.0
1,85,0,go,1.0,1.0
1,87,0,go,1.0,1.0
1,89,0,go,1.0,1.0
1,91,0,go,1.0,1.0
1,93,0,go,1.0,1.0
1,95,0,go,1.0,1.0
1,97,0,go,1.0,1.0
1,99,0,go,1.0,1.0
2,3,1,warning,0.25,0.5695
2,5,3,static_b,0.24,1.2613
2,7,2,reiterate,0.12,1.4411
2,9,2,reiterate,0.09,1.4958
2,11,2,reiterate,0.03,1.5282
2,13,2,reiterate,0.02,1.495
2,15,2,reiterate,0.01,1.4975
2,17,2,reiterate,0.0,1.509
2,19,2,reiterate,0.0,1.5
2,21,2,reiterate,0.0,1.5
2,23,2,reiterate,0.0,1.5
2,25,2,reiterate,0.0,1.5
2,27,2,reiterate,0.0,1.5
2,29,2,reiterate,0.0,1.5
2,31,2,reiterate,0.0,1.5
2,33,2,reiterate,0.0,1.5
2,35,2,reiterate,0.0,1.5
2,37,2,reiterate,0.0,1.5
2,39,2,reiterate,0.0,1.5
2,41,2,reiterate,0.0,1.5
2,43,2,reiterate,0.0,1.5
2,45,2,reiterate,0.0,1.5
2,47,2,reiterate,0.0,1.5
2,49,2,reiterate,0.0,1.5
2,51,2,reiterate,0.0,1.5
2,53,2,reiterate,0.0,1.5
2,55,2,reiterate,0.0,1.5
2,57,2,reiterate,0.0,1.5
2,59,2,reiterate,0.0,1.5
2,61,2,reiterate,0.0,1.5
2,63,2,reiterate,0.0,1.5
2,65,2,reiterate,0.0,1.5
2,67,2,reiterate,0.0,1.5
2,69,2,reiterate,0.0,1.5
2,71,2,reiterate,0.0,1.5
2,73,2,reiterate,0.0,1.5
2,75,2,reiterate,0.0,1.5
2,77,2,reiterate,0.0,1.5
2,79,2,reiterate,0.0,1.5
