episode,tick,virality,reward
0,1,0.21,0.0
0,2,0.19,1.1544
0,3,0.33,0.5814
0,4,0.39,1.0
0,5,0.52,0.6009
0,6,0.58,0.5241
0,7,0.64,0.4501
0,8,0.66,0.0
0,9,0.69,0.0
0,10,0.73,0.4622
0,11,0.76,0.0
0,12,0.8,0.0
0,13,0.82,0.0
0,14,0.83,0.0
0,15,0.85,0.0
0,16,0.86,0.0
0,17,0.89,0.302
0,18,0.9,0.0
0,19,0.92,0.0
0,20,0.92,0.0
0,21,0.93,0.283
0,22,0.95,0.2845
0,23,0.95,0.0
0,24,0.95,0.7805
0,25,0.95,0.0
0,26,0.95,1.0
0,27,0.95,0.0
0,28,0.95,0.0
0,29,0.95,0.0
0,30,0.95,1.0
0,31,0.95,0.0
0,32,0.95,1.0
0,33,0.95,0.7825
0,34,0.95,0.0
0,35,0.95,0.78
0,36,0.95,0.0
0,37,0.95,0.0
0,38,0.95,1.0
0,39,0.95,0.0
0,40,0.95,0.0
0,41,0.95,0.0
0,42,0.95,0.779
0,43,0.95,0.7775
0,44,0.95,0.0
0,45,0.95,1.0
0,46,0.95,1.0
0,47,0.95,0.0
0,48,0.95,0.7815
0,49,0.95,0.0
0,50,0.95,0.7795
0,51,0.95,0.0
0,52,0.95,0.0
0,53,0.95,0.78
0,54,0.95,0.7785
0,55,0.95,0.0
0,56,0.95,0.0
0,57,0.95,1.0
0,58,0.95,1.0
0,59,0.95,0.0
0,60,0.95,0.0
0,61,0.95,0.0
0,62,0.95,0.0
0,63,0.95,0.0
0,64,0.95,0.7815
0,65,0.95,1.0
0,66,0.95,0.779
0,67,0.95,0.0
0,68,0.95,0.0
0,69,0.95,0.7805
0,70,0.95,0.0
0,71,0.95,1.0
0,72,0.95,0.0
0,73,0.95,1.0
0,74,0.95,1.0
0,75,0.95,0.0
0,76,0.95,0.0
0,77,0.95,1.0
0,78,0.95,0.0
0,79,0.95,0.7805
0,80,0.95,0.781
0,81,0.95,1.0
0,82,0.95,0.0
0,83,0.95,1.0
0,84,0.95,0.0
0,85,0.95,0.0
0,86,0.95,0.0
0,87,0.95,1.0
0,88,0.95,0.0
0,89,0.95,0.0
0,90,0.95,0.783
0,91,0.95,1.0
0,92,0.95,0.0
0,93,0.95,0.0
0,94,0.95,0.0
0,95,0.95,0.7795
0,96,0.95,0.78
0,97,0.95,0.0
0,98,0.95,0.0
0,99,0.95,0.0
0,100,0.95,0.778
1,1,0.13,0.0
1,2,0.13,1.1393
1,3,0.3,0.0
1,4,0.35,0.0
1,5,0.44,0.5764
1,6,0.49,1.0
1,7,0.52,0.5588
1,8,0.54,0.0
1,9,0.58,0.5433
1,10,0.59,0.4848
1,11,0.61,0.0
1,12,0.62,0.0
1,13,0.64,0.0
1,14,0.65,0.0
1,15,0.66,0.0
1,16,0.69,0.0
1,17,0.71,0.0
1,18,0.72,0.0
1,19,0.72,0.0
1,20,0.73,0.0
1,21,0.73,1.0
1,22,0.76,0.3975
1,23,0.8,0.0
1,24,0.84,0.0
1,25,0.84,0.0
1,26,0.84,0.0
1,27,0.85,0.3015
1,28,0.85,0.0
1,29,0.9,0.0
