episode,ticks,initial_virality,final_virality,mean_virality,max_virality,total_reward,mean_reward,go,reiterate,static_b,warning,n_actions
0,100,0.21,0.95,0.8946999999999999,0.95,36.6846,0.366846,48.0,0.0,0.0,1.0,49.0
1,100,0.13,0.95,0.8567,0.95,30.9396,0.309396,48.0,0.0,0.0,1.0,49.0
2,100,0.12,0.0,0.0086,0.14,113.3198,1.133198,0.0,47.0,1.0,1.0,49.0
3,100,0.14,0.0,0.026699999999999998,0.33,108.3096,1.083096,48.0,0.0,0.0,1.0,49.0
4,100,0.11,0.0,0.0104,0.19,110.7061,1.107061,48.0,0.0,0.0,1.0,49.0
5,100,0.18,0.95,0.9111999999999999,0.95,39.5544,0.395544,0.0,48.0,0.0,1.0,49.0
6,100,0.13,0.95,0.8848999999999999,0.95,41.2793,0.41279299999999997,48.0,0.0,0.0,1.0,49.0
7,100,0.11,0.0,0.0329,0.33,113.8723,1.138723,47.0,1.0,0.0,1.0,49.0
8,100,0.15,0.0,0.025300000000000003,0.29,107.1464,1.071464,47.0,1.0,0.0,1.0,49.0
9,100,0.13,0.0,0.013999999999999999,0.21,105.2222,1.052222,48.0,0.0,0.0,1.0,49.0
10,100,0.12,0.0,0.0083,0.12,106.8535,1.068535,48.0,0.0,0.0,1.0,49.0
11,100,0.18,0.95,0.9181999999999999,0.97,48.2777,0.482777,0.0,48.0,0.0,1.0,49.0
12,100,0.19,0.95,0.9211999999999999,0.95,41.5817,0.415817,47.0,1.0,0.0,1.0,49.0
13,100,0.19,0.95,0.9198,0.95,45.4153,0.45415300000000003,0.0,48.0,0.0,1.0,49.0
14,100,0.12,0.0,0.0105,0.17,110.6066,1.106066,48.0,0.0,0.0,1.0,49.0
15,100,0.19,0.95,0.9203999999999999,0.95,40.1275,0.401275,0.0,48.0,0.0,1.0,49.0
16,100,0.2,0.95,0.9103,0.95,48.6617,0.486617,48.0,0.0,0.0,1.0,49.0
17,100,0.17,0.94,0.8911999999999999,0.94,45.0722,0.450722,0.0,48.0,0.0,1.0,49.0
18,100,0.21,0.95,0.9117999999999999,0.95,48.5797,0.48579700000000003,48.0,0.0,0.0,1.0,49.0
19,100,0.15,0.0,0.048100000000000004,0.4,109.8618,1.098618,0.0,48.0,0.0,1.0,49.0
20,100,0.1,0.0,0.0141,0.23,110.2809,1.102809,47.0,1.0,0.0,1.0,49.0
21,100,0.15,0.0,0.024,0.29,108.284,1.08284,48.0,0.0,0.0,1.0,49.0
22,100,0.17,0.95,0.9175,0.95,45.8844,0.458844,1.0,46.0,1.0,1.0,49.0
23,100,0.19,0.0,0.0429,0.37,107.8194,1.078194,48.0,0.0,0.0,1.0,49.0
